fonte,anno,territorio,scala,necessita_locatore,finita_locazione,morosita_altra_causa,provvedimenti_totali,var_provvedimenti_percentuale,richieste_esecuzione,var_richieste_percentuale,sfratti_eseguiti,var_eseguiti_percentuale,note
Ministero Interno via SICET,2024,Italia,nazione,,,30041,40158,,81054,,21337,,serie nazionale 2024; totale include tutte le tipologie
Ministero Interno via SICET,2024,Marche,regione,0,168,753,921,8.10,1566,-0.32,397,-1.98,
Ministero Interno via SICET,2024,Ancona,provincia,0,67,304,371,-4.87,374,9.04,181,1.69,
Ministero Interno via SICET,2024,Ascoli Piceno,provincia,0,0,66,66,3.13,282,7.63,53,55.88,
Ministero Interno via SICET,2024,Fermo,provincia,0,8,107,115,74.24,254,-16.17,35,-25.53,
Ministero Interno via SICET,2024,Macerata,provincia,0,29,104,133,-15.82,475,3.49,78,-3.70,
